eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
advection_diffusion,2,0.01,1,0,43.41282558441162,0.04306530952453613,100.19272166598418
advection_diffusion,3,0.01,1,0,55.20183253288269,0.011269330978393555,99.45874619287227
advection_diffusion,13,0.01,1,0,72.16441583633423,0.013188362121582031,99.1711558922996
advection_diffusion,4,0.01,1,0,73.43589878082275,0.006620168685913086,99.23322704479149
advection_diffusion,2,0.01,1,1,32.256882667541504,0.0009522438049316406,100.60758998960662
advection_diffusion,14,0.01,1,0,91.60424256324768,0.00467681884765625,99.17442557445683
advection_diffusion,15,0.01,1,0,109.68397521972656,0.0325016975402832,99.17286582293701
advection_diffusion,18,0.01,1,0,120.73820233345032,0.004098176956176758,99.17304468852404
advection_diffusion,3,0.01,1,1,60.54675364494324,0.0011181831359863281,99.46508831284788
advection_diffusion,17,0.01,1,0,130.19270753860474,0.00337982177734375,99.17091315118668
advection_diffusion,16,0.01,1,0,139.60071539878845,0.007849931716918945,99.17653711551824
advection_diffusion,2,0.01,1,2,71.18444490432739,0.0013360977172851562,98.63192625003812
advection_diffusion,20,0.01,1,0,164.06755828857422,0.005491733551025391,99.17256775819807
advection_diffusion,25,0.01,1,0,173.70097732543945,0.0073795318603515625,99.1731419771031
advection_diffusion,5,0.01,1,0,161.56323838233948,0.021216392517089844,99.21195798865797
advection_diffusion,6,0.01,1,0,165.36003923416138,0.0054471492767333984,99.18538669966814
advection_diffusion,7,0.01,1,0,168.55417251586914,0.01626276969909668,99.1800823444506
advection_diffusion,4,0.01,1,1,95.83376812934875,0.0013170242309570312,99.73755094803334
advection_diffusion,19,0.01,1,0,184.0081033706665,0.004619598388671875,99.1725369805892
advection_diffusion,30,0.01,1,0,184.53067541122437,0.004918336868286133,99.17208033592519
advection_diffusion,3,0.01,1,2,63.220555543899536,0.001279592514038086,99.16777318083257
advection_diffusion,9,0.01,1,0,185.6654896736145,0.005491018295288086,99.1704011803253
advection_diffusion,13,0.01,1,1,114.84168481826782,0.0010991096496582031,99.17262725742113
advection_diffusion,60,0.01,1,0,209.01263689994812,0.010926961898803711,99.172351383244
advection_diffusion,18,0.01,1,1,107.08852076530457,0.0011336803436279297,99.17503754030244
advection_diffusion,3,0.01,1,3,38.591076135635376,0.0010466575622558594,99.3783550588813
advection_diffusion,11,0.01,1,0,231.11122059822083,0.009576797485351562,99.17111429745881
advection_diffusion,15,0.01,1,1,138.56119084358215,0.0014858245849609375,99.17765246866311
advection_diffusion,17,0.01,1,1,125.82454347610474,0.001203298568725586,99.1719865579033
advection_diffusion,2,0.01,1,3,96.95014262199402,0.001383066177368164,99.05281960175586
advection_diffusion,50,0.01,1,0,260.6750054359436,0.009271860122680664,99.173821801673
advection_diffusion,14,0.01,1,1,158.3740108013153,0.0010652542114257812,99.17289723323623
advection_diffusion,75,0.01,1,0,262.4013035297394,0.010929584503173828,99.1719604551346
advection_diffusion,35,0.01,1,0,274.36560225486755,0.003674030303955078,99.17391069879884
advection_diffusion,4,0.01,1,2,92.98086929321289,0.001173257827758789,99.16190082765392
advection_diffusion,65,0.01,1,0,276.00111532211304,0.005304098129272461,99.17323607999819
advection_diffusion,45,0.01,1,0,277.43847489356995,0.004624128341674805,99.17310245597676
advection_diffusion,40,0.01,1,0,290.5773591995239,0.005135536193847656,99.17449350494891
advection_diffusion,10,0.01,1,0,282.6298499107361,0.01574850082397461,99.17273196785943
advection_diffusion,55,0.01,1,0,297.79847168922424,0.004950523376464844,99.17167837423655
advection_diffusion,16,0.01,1,1,158.73884534835815,0.0017504692077636719,99.17383586228488
advection_diffusion,2,0.01,1,4,46.061683654785156,0.0013279914855957031,100.09433573000277
advection_diffusion,13,0.01,1,2,121.72686076164246,0.001096487045288086,99.17635055836058
advection_diffusion,70,0.01,1,0,323.46840620040894,0.016968250274658203,99.17477960009464
advection_diffusion,20,0.01,1,1,169.38244652748108,0.001855611801147461,99.17393155330991
advection_diffusion,14,0.01,1,2,80.52052569389343,0.0010426044464111328,99.17313811050381
advection_diffusion,4,0.01,1,3,77.85036110877991,0.0010249614715576172,99.23702632514015
advection_diffusion,7,0.01,1,1,175.26667094230652,0.0024924278259277344,99.17791304570687
advection_diffusion,5,0.01,1,1,182.58214044570923,0.0021009445190429688,99.3427701941612
advection_diffusion,30,0.01,1,1,172.45810723304749,0.0017402172088623047,99.17289356174956
advection_diffusion,15,0.01,1,2,113.14491820335388,0.001321554183959961,99.17169741464674
advection_diffusion,6,0.01,1,1,188.64138102531433,0.0025589466094970703,99.1816656416803
advection_diffusion,3,0.01,1,4,135.9178695678711,0.0010852813720703125,99.47641636468472
advection_diffusion,18,0.01,1,2,144.03101515769958,0.0013680458068847656,99.17385502536844
advection_diffusion,9,0.01,1,1,185.6649205684662,0.002156972885131836,99.17784855073874
advection_diffusion,19,0.01,1,1,206.29226183891296,0.0018520355224609375,99.17608775280613
advection_diffusion,11,0.01,1,1,155.98698449134827,0.0025284290313720703,99.17253536912271
advection_diffusion,25,0.01,1,1,228.9333097934723,0.0015139579772949219,99.1737341267893
advection_diffusion,12,0.01,1,0,405.1193552017212,0.01006007194519043,99.1742305453465
advection_diffusion,13,0.01,1,3,102.52435255050659,0.0009872913360595703,99.16776543744903
advection_diffusion,14,0.01,1,3,84.81727528572083,0.001062154769897461,99.17457806530298
advection_diffusion,17,0.01,1,2,176.8221218585968,0.0014600753784179688,99.17175697843075
advection_diffusion,4,0.01,1,4,81.36810088157654,0.0010294914245605469,99.22707262517761
