eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
boundary_layer,65,0.01,1,0,482.66084599494934,0.010318756103515625,0.6056246520262318
boundary_layer,40,0.01,1,0,557.904762506485,0.016943693161010742,0.6720920070599051
boundary_layer,55,0.01,1,0,590.6892940998077,0.011076688766479492,0.6108831266956581
boundary_layer,75,0.01,1,0,694.0784938335419,0.006928920745849609,0.5935628937516969
boundary_layer,5,0.01,1,0,702.2179484367371,0.0075566768646240234,22.864490029178302
boundary_layer,16,0.01,1,0,722.4375076293945,0.02080559730529785,0.9547946543405756
boundary_layer,4,0.01,1,0,777.1193981170654,0.014975309371948242,17.741068743948553
boundary_layer,50,0.01,1,0,778.2348184585571,0.011145591735839844,0.6663029343535934
boundary_layer,70,0.01,1,0,783.7376341819763,0.01410222053527832,0.5710859302124291
boundary_layer,35,0.01,1,0,831.4577221870422,0.011697530746459961,0.6822978926076716
boundary_layer,60,0.01,1,0,979.0846400260925,0.010154008865356445,0.636949268165102
boundary_layer,2,0.01,1,0,1040.951742887497,0.009870290756225586,166.97310259696124
boundary_layer,45,0.01,1,0,1079.8986384868622,0.009124040603637695,0.6472364614907344
boundary_layer,6,0.01,1,0,1134.7420568466187,0.00815439224243164,6.239064813806953
boundary_layer,5,0.01,1,1,457.2493999004364,0.0023696422576904297,8.16961581769926
boundary_layer,7,0.01,1,0,1169.3031921386719,0.017311573028564453,6.755698275445829
boundary_layer,3,0.01,1,0,1177.6102504730225,0.016118764877319336,103.05878904657759
boundary_layer,17,0.01,1,0,1191.5289585590363,0.009517908096313477,0.9745465492669158
boundary_layer,8,0.01,1,0,1241.7459816932678,0.03986716270446777,6.8444116599275615
boundary_layer,9,0.01,1,0,1247.1081731319427,0.008127450942993164,4.247201818997964
boundary_layer,18,0.01,1,0,1289.4874062538147,0.04613804817199707,1.0628266603164982
boundary_layer,10,0.01,1,0,1293.5672209262848,0.025461673736572266,4.0024518938499245
boundary_layer,55,0.01,1,1,729.6607654094696,0.0035834312438964844,0.6762210887591696
boundary_layer,19,0.01,1,0,1400.4721715450287,0.022968769073486328,1.021110516129394
boundary_layer,60,0.01,1,1,423.6572413444519,0.0035696029663085938,0.6357489779808723
boundary_layer,2,0.01,1,1,404.95563101768494,0.003920555114746094,60.835257391731055
boundary_layer,75,0.01,1,1,784.6620390415192,0.002205371856689453,0.6368254354194751
boundary_layer,25,0.01,1,0,1494.6909608840942,0.00798344612121582,1.0695331421583447
boundary_layer,65,0.01,1,1,1024.9800336360931,0.0022170543670654297,0.6394827953040007
boundary_layer,3,0.01,1,1,372.812705039978,0.0030884742736816406,54.02542527244669
boundary_layer,5,0.01,1,2,401.34241485595703,0.003268003463745117,4.390046602624661
boundary_layer,70,0.01,1,1,860.1929035186768,0.002668142318725586,0.6036027470520295
boundary_layer,15,0.01,1,0,1647.9472892284393,0.007360696792602539,1.6546540503312532
boundary_layer,30,0.01,1,0,1660.4322316646576,0.006600141525268555,0.9436908278111712
boundary_layer,9,0.01,1,1,510.67799401283264,0.0019474029541015625,9.554442401634352
boundary_layer,12,0.01,1,0,1783.9670045375824,0.014535665512084961,7.355987175374974
boundary_layer,60,0.01,1,2,412.5864350795746,0.0018281936645507812,0.5798628476230665
boundary_layer,45,0.01,1,1,832.2358663082123,0.003040313720703125,0.6568952585030376
boundary_layer,65,0.01,1,2,405.6931929588318,0.001211404800415039,0.6512104805150749
boundary_layer,75,0.01,1,2,448.76957631111145,0.0012912750244140625,0.5854730215477691
boundary_layer,17,0.01,1,1,737.1109502315521,0.002879619598388672,0.8835644036539507
boundary_layer,70,0.01,1,2,351.531774520874,0.0016632080078125,0.6214912184112753
boundary_layer,3,0.01,1,2,486.09602665901184,0.002782583236694336,49.1069012092605
boundary_layer,55,0.01,1,2,736.9880917072296,0.0025267601013183594,0.5865581355361005
boundary_layer,2,0.01,1,2,612.0842649936676,0.002885103225708008,249.50462026162148
boundary_layer,13,0.01,1,0,2075.692884206772,0.01811528205871582,2.763053324848108
boundary_layer,8,0.01,1,1,841.5576655864716,0.0037338733673095703,5.150276685353399
boundary_layer,65,0.01,1,3,259.6366391181946,0.0014803409576416016,0.6269671955946075
boundary_layer,2,0.01,1,3,189.5540804862976,0.002586841583251953,196.027698385853
boundary_layer,75,0.01,1,3,377.7322106361389,0.0015459060668945312,0.5859713632325481
boundary_layer,40,0.01,1,1,1754.367359638214,0.0029129981994628906,0.8030343703341469
boundary_layer,60,0.01,1,3,503.2137496471405,0.0013108253479003906,0.6436485199538732
boundary_layer,70,0.01,1,3,338.3082802295685,0.0015635490417480469,0.6017632486373969
boundary_layer,25,0.01,1,1,870.821195602417,0.002298593521118164,0.771806185770507
boundary_layer,11,0.01,1,0,2373.1749725341797,0.05492067337036133,8.048143159572637
boundary_layer,15,0.01,1,1,748.8293282985687,0.001794576644897461,0.7718463159464057
boundary_layer,3,0.01,1,3,411.79764699935913,0.001680135726928711,153.10175883395146
boundary_layer,18,0.01,1,1,1207.8349833488464,0.002806425094604492,0.9190595768146478
boundary_layer,45,0.01,1,2,607.3150186538696,0.0016207695007324219,0.657268128741404
boundary_layer,65,0.01,1,4,365.0478136539459,0.0014734268188476562,0.6306938070069383
boundary_layer,7,0.01,1,1,1437.7814676761627,0.003070354461669922,12.206181687291071
boundary_layer,2,0.01,1,4,371.94871401786804,0.0012958049774169922,90.96289120497315
boundary_layer,75,0.01,1,4,354.162220954895,0.0011529922485351562,0.5855300481165707
boundary_layer,4,0.01,1,1,1912.079304933548,0.0018687248229980469,67.65453258645448
