eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
cusp,4,0.01,1,0,72.0303955078125,0.0049877166748046875,104.46136980103458
cusp,2,0.01,1,0,73.94511198997498,0.011015176773071289,105.05142969707263
cusp,5,0.01,1,0,115.84990668296814,0.03147006034851074,99.43401232897375
cusp,2,0.01,1,1,45.37354564666748,0.001096963882446289,111.05816925828233
cusp,70,0.01,1,0,138.78111219406128,0.012563705444335938,96.94441540232317
cusp,3,0.01,1,0,140.2093198299408,0.0046427249908447266,131.78904633613118
cusp,9,0.01,1,0,174.09853434562683,0.006062507629394531,96.9066666580405
cusp,30,0.01,1,0,139.3778202533722,0.017498016357421875,96.90907049350113
cusp,35,0.01,1,0,141.8226888179779,0.04381513595581055,96.9487260257025
cusp,75,0.01,1,0,194.59047532081604,0.002676725387573242,96.93213803621799
cusp,6,0.01,1,0,213.212739944458,0.015447139739990234,98.38560122161194
cusp,40,0.01,1,0,194.3926818370819,0.01719212532043457,96.92186309860993
cusp,2,0.01,1,2,106.5081524848938,0.0010519027709960938,99.89342155392255
cusp,7,0.01,1,0,274.04576206207275,0.007141590118408203,96.88005739002209
cusp,45,0.01,1,0,243.25583267211914,0.030398130416870117,96.9337906839162
cusp,55,0.01,1,0,270.39585733413696,0.08467602729797363,96.9292941719837
cusp,2,0.01,1,3,62.93039298057556,0.0011425018310546875,102.88300290770316
cusp,5,0.01,1,1,199.17351174354553,0.0012059211730957031,97.99181417752492
cusp,65,0.01,1,0,303.76055574417114,0.0971224308013916,96.94494037503235
cusp,60,0.01,1,0,320.91578006744385,0.004972934722900391,96.88390930800811
cusp,13,0.01,1,0,354.5029089450836,0.05211067199707031,96.90545323117705
cusp,14,0.01,1,0,362.3978216648102,0.005013704299926758,96.89786044726644
cusp,30,0.01,1,1,180.35700631141663,0.0008475780487060547,97.0146098436335
cusp,2,0.01,1,4,62.408528566360474,0.001027822494506836,106.34225652547929
cusp,50,0.01,1,0,348.6544804573059,0.056209564208984375,96.93258789282841
cusp,75,0.01,1,1,179.5133934020996,0.0009415149688720703,96.93615596855017
cusp,35,0.01,1,1,199.9520139694214,0.0009062290191650391,96.96739285325881
cusp,70,0.01,1,1,257.44585704803467,0.0009570121765136719,96.91471091684258
cusp,25,0.01,1,0,425.24054527282715,0.027379751205444336,96.93849278400094
cusp,9,0.01,1,1,270.9184339046478,0.0012254714965820312,96.93686013156457
cusp,12,0.01,1,0,451.2860634326935,0.019557952880859375,96.91984404311941
cusp,18,0.01,1,0,491.1519432067871,0.0069732666015625,96.98708489295797
cusp,8,0.01,1,0,506.25362730026245,0.0034584999084472656,96.50811328407131
cusp,5,0.01,1,2,193.8147304058075,0.0011115074157714844,98.14262839068928
cusp,19,0.01,1,0,522.6630203723907,0.03395843505859375,96.90597605686058
cusp,55,0.01,1,1,235.67371654510498,0.0018620491027832031,96.93468048500475
cusp,16,0.01,1,0,544.8106579780579,0.005757808685302734,96.97457043256466
cusp,30,0.01,1,2,199.55490112304688,0.0008311271667480469,96.95514740888373
cusp,17,0.01,1,0,598.4841461181641,0.014558553695678711,96.89516319660552
cusp,3,0.01,1,1,442.734167098999,0.0009963512420654297,129.86219137825165
cusp,75,0.01,1,2,215.01336932182312,0.0009853839874267578,96.93365284192393
cusp,35,0.01,1,2,214.3526918888092,0.0009360313415527344,96.91360838250397
cusp,60,0.01,1,1,266.832976102829,0.001802682876586914,96.96222556892906
cusp,70,0.01,1,2,237.59460973739624,0.0009007453918457031,96.93126219966024
cusp,65,0.01,1,1,339.49919867515564,0.001977682113647461,96.93976220314721
cusp,11,0.01,1,0,670.6388902664185,0.014516592025756836,96.80394173025665
cusp,3,0.01,1,2,88.3566370010376,0.0009915828704833984,104.93080114309517
cusp,8,0.01,1,1,206.92253303527832,0.0013828277587890625,96.97776568166606
cusp,40,0.01,1,1,497.60590171813965,0.0014848709106445312,96.96799550418153
cusp,50,0.01,1,1,344.97114658355713,0.0010297298431396484,96.89285756955925
cusp,9,0.01,1,2,290.09779596328735,0.0012497901916503906,96.8796984151382
cusp,45,0.01,1,1,460.81543946266174,0.0010848045349121094,96.87450881785541
cusp,30,0.01,1,3,181.84639859199524,0.0008962154388427734,96.94224855532305
cusp,5,0.01,1,3,257.25553607940674,0.0011539459228515625,96.47529945099936
cusp,55,0.01,1,2,260.17609000205994,0.00138092041015625,96.94803895237852
cusp,75,0.01,1,3,232.2858808040619,0.0009365081787109375,96.93621116534766
cusp,70,0.01,1,3,205.16678428649902,0.0009598731994628906,96.91715992175268
cusp,18,0.01,1,1,379.8711564540863,0.0024406909942626953,96.92665406752677
cusp,35,0.01,1,3,298.03733015060425,0.0009448528289794922,96.91656949221995
cusp,4,0.01,1,1,837.080587387085,0.0013744831085205078,103.18672863750675
cusp,30,0.01,1,4,164.38075709342957,0.0008721351623535156,96.8954019476434
cusp,14,0.01,1,1,564.8926320075989,0.002767801284790039,96.93442953154607
cusp,50,0.01,1,2,206.13472175598145,0.0014510154724121094,96.95575697199502
cusp,12,0.01,1,1,494.22508096694946,0.002227783203125,96.98292553516153
cusp,60,0.01,1,2,347.63646697998047,0.0009374618530273438,96.9432808528198
cusp,5,0.01,1,4,205.5463445186615,0.0010216236114501953,96.91494724438131
cusp,25,0.01,1,1,549.0310950279236,0.002858877182006836,96.94790331505509
cusp,40,0.01,1,2,272.734251499176,0.0014262199401855469,96.96190584813472
cusp,8,0.01,1,2,290.10637760162354,0.001119375228881836,97.05871573623476
cusp,15,0.01,1,0,1022.4588603973389,0.01876974105834961,97.18749851287039
cusp,45,0.01,1,2,287.9464166164398,0.0010972023010253906,96.96059911906163
cusp,65,0.01,1,2,387.901091337204,0.0010159015655517578,96.93793022081806
cusp,11,0.01,1,1,393.8406488895416,0.0025529861450195312,96.9189239041215
cusp,70,0.01,1,4,235.90167140960693,0.0009419918060302734,96.89784557569784
cusp,75,0.01,1,4,255.55464005470276,0.0009112358093261719,96.9352549903849
cusp,17,0.01,1,1,493.7623727321625,0.002093076705932617,96.8946778637438
cusp,4,0.01,1,2,197.8648533821106,0.0010578632354736328,103.86417761277312
cusp,19,0.01,1,1,604.4621398448944,0.002737283706665039,96.92569355874424
cusp,60,0.01,1,3,168.61867880821228,0.0010902881622314453,96.91779203550745
cusp,7,0.01,1,1,885.9917135238647,0.0012784004211425781,97.51444575499659
cusp,8,0.01,1,3,164.11050963401794,0.0012652873992919922,96.97752431139708
cusp,6,0.01,1,1,964.8821592330933,0.0014085769653320312,98.4733323796766
cusp,16,0.01,1,1,639.223890542984,0.0021979808807373047,96.93019244492123
cusp,50,0.01,1,3,253.71469068527222,0.0013117790222167969,96.94516199106718
cusp,55,0.01,1,3,433.665634393692,0.0014348030090332031,96.92854175055767
cusp,40,0.01,1,3,247.64070558547974,0.0011522769927978516,96.92748841182211
cusp,3,0.01,1,3,562.9907705783844,0.0010225772857666016,115.24707987474979
cusp,35,0.01,1,4,356.7166519165039,0.0009391307830810547,96.86018925999133
cusp,4,0.01,1,3,160.41141724586487,0.0010223388671875,97.96112833750736
cusp,65,0.01,1,3,224.47526955604553,0.0009958744049072266,96.92509047651893
cusp,3,0.01,1,4,73.62371325492859,0.00103759765625,240.27533764264
cusp,8,0.01,1,4,181.2989478111267,0.0010936260223388672,97.02078003704635
cusp,7,0.01,1,2,199.06035733222961,0.0010442733764648438,96.9934728618913
cusp,6,0.01,1,2,196.05682730674744,0.0011219978332519531,97.09628978110862
cusp,18,0.01,1,2,533.5190784931183,0.0026369094848632812,96.95453947440014
cusp,60,0.01,1,4,285.149662733078,0.0010762214660644531,96.93393258782696
cusp,50,0.01,1,4,304.77403831481934,0.0013055801391601562,96.93149922529028
cusp,12,0.01,1,2,590.6377022266388,0.0027894973754882812,97.02755908075751
cusp,15,0.01,1,1,527.2893979549408,0.002351045608520508,96.92259600434795
cusp,45,0.01,1,3,529.9098920822144,0.0010981559753417969,96.99840721124717
cusp,65,0.01,1,4,286.42027401924133,0.0009343624114990234,96.927572988988
cusp,40,0.01,1,4,361.9874382019043,0.0012226104736328125,96.92680047299541
cusp,11,0.01,1,2,552.5953686237335,0.0025365352630615234,96.92779604362379
cusp,55,0.01,1,4,396.04416966438293,0.00098419189453125,96.93772634228566
cusp,17,0.01,1,2,540.9158594608307,0.002482175827026367,97.01307677784065
cusp,6,0.01,1,3,301.91706109046936,0.0010945796966552734,97.04653827351383
cusp,25,0.01,1,2,722.7971730232239,0.003018617630004883,96.9758738404331
cusp,20,0.01,1,0,1740.4404995441437,0.008026361465454102,97.18446685904316
cusp,13,0.01,1,1,1430.5048151016235,0.002229928970336914,96.93779064524438
cusp,45,0.01,1,4,265.12371158599854,0.0008883476257324219,96.94935725077102
cusp,4,0.01,1,4,554.0398435592651,0.0010037422180175781,99.47973867327038
cusp,6,0.01,1,4,175.3575668334961,0.0010306835174560547,97.75168143576833
cusp,14,0.01,1,2,935.1936695575714,0.0028231143951416016,97.01916010051438
cusp,16,0.01,1,2,715.6921515464783,0.002480030059814453,96.91505337012252
cusp,7,0.01,1,3,576.6774008274078,0.0009710788726806641,97.61608334758078
cusp,9,0.01,1,3,1249.9536945819855,0.0009086132049560547,98.19380502486594
cusp,12,0.01,1,3,513.6537652015686,0.0031898021697998047,96.94399842581551
cusp,18,0.01,1,3,651.2907028198242,0.0015888214111328125,96.92687533748095
cusp,11,0.01,1,3,476.74904441833496,0.002817392349243164,96.97040641483353
cusp,10,0.01,1,0,2119.53196144104,0.0179593563079834,97.47930771207957
cusp,7,0.01,1,4,203.0724232196808,0.0010268688201904297,97.1524378748209
cusp,9,0.01,1,4,160.36904525756836,0.0009260177612304688,96.94333734335314
cusp,15,0.01,1,2,678.2161684036255,0.0029153823852539062,96.93476452144726
cusp,19,0.01,1,2,1249.0306401252747,0.002667665481567383,96.91638978312844
cusp,11,0.01,1,4,279.91940546035767,0.0029397010803222656,96.89948023165591
cusp,16,0.01,1,3,496.4103627204895,0.0023589134216308594,96.98878065864756
cusp,10,0.01,1,1,313.6478798389435,0.0018913745880126953,97.04996034687886
cusp,12,0.01,1,4,401.00541973114014,0.002437591552734375,97.00648825126429
cusp,15,0.01,1,3,360.48991298675537,0.0015370845794677734,96.87910410651683
cusp,13,0.01,1,2,837.2783517837524,0.0019092559814453125,96.9622508827351
cusp,17,0.01,1,3,1020.6890437602997,0.0018265247344970703,96.91396042255637
cusp,18,0.01,1,4,667.1513991355896,0.0026557445526123047,96.9604180802074
cusp,10,0.01,1,2,338.68439507484436,0.0020914077758789062,96.87436542227657
cusp,16,0.01,1,4,403.6490638256073,0.0019218921661376953,96.99488492860638
cusp,25,0.01,1,3,1179.3835043907166,0.0022056102752685547,96.92019118962243
cusp,13,0.01,1,3,311.8866767883301,0.0017108917236328125,97.00639333253216
cusp,15,0.01,1,4,426.06038212776184,0.0014333724975585938,96.8949028139324
