eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
helmholtz,2,0.01,1,0,33.104979038238525,0.0045392513275146484,761.497646297296
helmholtz,3,0.01,1,0,68.37790012359619,0.006025552749633789,394.24594747086036
helmholtz,2,0.01,1,1,45.075217723846436,0.0007500648498535156,220.40371707031233
helmholtz,6,0.01,1,0,72.67196750640869,0.002561330795288086,128.0338076287383
helmholtz,2,0.01,1,2,43.340994358062744,0.0008184909820556641,282.63181793368
helmholtz,17,0.01,1,0,157.86017084121704,0.0036690235137939453,3.893956179647841
helmholtz,4,0.01,1,0,137.4614872932434,0.007871389389038086,328.40526062506245
helmholtz,18,0.01,1,0,164.22752976417542,0.002889394760131836,3.668906370913155
helmholtz,5,0.01,1,0,117.25408458709717,0.003682374954223633,265.15382926152074
helmholtz,8,0.01,1,0,120.61133027076721,0.0031740665435791016,205.6694666071066
helmholtz,7,0.01,1,0,121.13715982437134,0.0025696754455566406,299.5987953773938
helmholtz,12,0.01,1,0,124.15675258636475,0.0022051334381103516,20.573652226562206
helmholtz,13,0.01,1,0,128.75170135498047,0.0018889904022216797,20.440590004969753
helmholtz,9,0.01,1,0,130.2572762966156,0.002110719680786133,109.99853341597077
helmholtz,2,0.01,1,3,47.13898825645447,0.0007815361022949219,349.04844370358984
helmholtz,14,0.01,1,0,132.54779171943665,0.0017979145050048828,7.764668181146725
helmholtz,3,0.01,1,1,107.1042149066925,0.0007698535919189453,207.9877270797569
helmholtz,19,0.01,1,0,199.4397256374359,0.003387928009033203,2.6805630884522267
helmholtz,25,0.01,1,0,201.71520614624023,0.0028412342071533203,2.0537125644838836
helmholtz,15,0.01,1,0,141.21852588653564,0.0028116703033447266,11.35468968369707
helmholtz,10,0.01,1,0,154.70220303535461,0.002118349075317383,75.31891340500293
helmholtz,35,0.01,1,0,220.10133814811707,0.006268739700317383,1.2607145212188664
helmholtz,16,0.01,1,0,158.52551460266113,0.0093536376953125,5.946125121400085
helmholtz,30,0.01,1,0,221.81493186950684,0.0035636425018310547,1.449467010310508
helmholtz,75,0.01,1,0,201.42708468437195,0.002925395965576172,1.3183940364285793
helmholtz,20,0.01,1,0,231.2379789352417,0.004609823226928711,2.52058953701794
helmholtz,11,0.01,1,0,175.276771068573,0.0029380321502685547,41.184834975037745
helmholtz,2,0.01,1,4,50.47443604469299,0.0008034706115722656,266.96564886912563
helmholtz,6,0.01,1,1,117.38475751876831,0.0008168220520019531,151.28113302971406
helmholtz,4,0.01,1,1,94.37582612037659,0.0007550716400146484,158.3246793484734
helmholtz,3,0.01,1,2,58.653128147125244,0.0007474422454833984,220.34948570452698
helmholtz,7,0.01,1,1,115.522873878479,0.0007936954498291016,204.44594120050888
helmholtz,40,0.01,1,0,285.39529371261597,0.004891633987426758,1.320869801657056
helmholtz,5,0.01,1,1,134.22052335739136,0.0007891654968261719,338.63187866649014
helmholtz,50,0.01,1,0,300.36013317108154,0.008430957794189453,0.9078522769577692
helmholtz,65,0.01,1,0,327.7686026096344,0.016740798950195312,0.9405133721613526
helmholtz,60,0.01,1,0,328.1377115249634,0.005925655364990234,1.1084482981686095
helmholtz,3,0.01,1,3,111.19791054725647,0.0008015632629394531,170.4001950347147
helmholtz,17,0.01,1,1,212.04504799842834,0.0007851123809814453,10.060590656024203
helmholtz,45,0.01,1,0,351.76387548446655,0.0066835880279541016,1.0960169553350294
helmholtz,70,0.01,1,0,352.4312903881073,0.01340341567993164,0.8922504435032041
helmholtz,13,0.01,1,1,188.5565676689148,0.0007367134094238281,22.624882768427007
helmholtz,18,0.01,1,1,229.63961172103882,0.0008075237274169922,3.6750315275212193
helmholtz,55,0.01,1,0,373.7441999912262,0.0062673091888427734,1.3111794642174406
helmholtz,10,0.01,1,1,187.39916372299194,0.0007863044738769531,131.35746988689775
helmholtz,12,0.01,1,1,224.48251461982727,0.0007944107055664062,155.88711003081025
helmholtz,6,0.01,1,2,163.14554595947266,0.0006885528564453125,208.16443182155018
helmholtz,11,0.01,1,1,179.4794054031372,0.0007731914520263672,112.4864270630658
helmholtz,4,0.01,1,2,168.18411350250244,0.0008046627044677734,188.67349675043877
helmholtz,8,0.01,1,1,242.11455821990967,0.0008025169372558594,99.71211963968406
helmholtz,9,0.01,1,1,236.99708557128906,0.0009605884552001953,132.23053946530555
helmholtz,15,0.01,1,1,233.05717158317566,0.0007901191711425781,4.497607481879775
helmholtz,5,0.01,1,2,126.5191433429718,0.0007903575897216797,275.8175670475096
helmholtz,16,0.01,1,1,240.24823760986328,0.0007810592651367188,5.546879267731727
helmholtz,7,0.01,1,2,163.0477213859558,0.0008118152618408203,190.71559018156947
helmholtz,14,0.01,1,1,271.4572420120239,0.0007781982421875,21.880309045721898
helmholtz,30,0.01,1,1,248.72697520256042,0.0008318424224853516,1.472805723219248
helmholtz,3,0.01,1,4,103.99115133285522,0.0007905960083007812,324.90120796520443
helmholtz,25,0.01,1,1,273.51264333724976,0.0008323192596435547,1.7120894803328963
helmholtz,75,0.01,1,1,272.42004323005676,0.0009386539459228516,1.038833827214421
helmholtz,20,0.01,1,1,274.61199021339417,0.0008037090301513672,3.9249244714674045
helmholtz,19,0.01,1,1,311.4320778846741,0.0008745193481445312,3.1301754599582723
helmholtz,17,0.01,1,2,156.34684133529663,0.0008089542388916016,4.16313396002184
helmholtz,6,0.01,1,3,113.10496830940247,0.0007786750793457031,225.99096579619987
helmholtz,5,0.01,1,3,129.9258828163147,0.0008168220520019531,221.9118765454782
helmholtz,4,0.01,1,3,167.9969847202301,0.0007581710815429688,173.30299265822842
helmholtz,35,0.01,1,1,381.56222891807556,0.0008375644683837891,1.3602498000702548
helmholtz,10,0.01,1,2,197.95301604270935,0.0007910728454589844,142.77495969755597
helmholtz,40,0.01,1,1,311.72478556632996,0.0009002685546875,1.1752047986343062
helmholtz,13,0.01,1,2,240.48129796981812,0.0007631778717041016,28.287648753498846
helmholtz,15,0.01,1,2,195.54100370407104,0.0007967948913574219,20.88218431961564
helmholtz,9,0.01,1,2,205.2380769252777,0.0008885860443115234,50.57106873746172
helmholtz,12,0.01,1,2,233.70861887931824,0.0008642673492431641,59.603606391315026
helmholtz,50,0.01,1,1,332.530916929245,0.0009653568267822266,1.0687340798051117
helmholtz,8,0.01,1,2,234.36951327323914,0.0009605884552001953,110.54738335317865
helmholtz,11,0.01,1,2,249.24232721328735,0.0010166168212890625,50.526430294181814
helmholtz,25,0.01,1,2,191.61347126960754,0.0008745193481445312,1.7538232238350715
helmholtz,16,0.01,1,2,222.91682958602905,0.0007913112640380859,5.669627642605431
helmholtz,18,0.01,1,2,301.61774158477783,0.0008656978607177734,2.451219570253925
helmholtz,14,0.01,1,2,229.6426920890808,0.0007979869842529297,17.307944116548786
helmholtz,55,0.01,1,1,304.1217484474182,0.0012595653533935547,1.4178051264175142
helmholtz,5,0.01,1,4,149.74570059776306,0.0008707046508789062,222.6910749512736
helmholtz,70,0.01,1,1,359.35715413093567,0.0012521743774414062,1.3934050682770935
helmholtz,6,0.01,1,4,226.02999639511108,0.0008580684661865234,274.86799325576214
helmholtz,4,0.01,1,4,164.67424416542053,0.0008552074432373047,187.3533260776353
helmholtz,19,0.01,1,2,269.5686547756195,0.0008482933044433594,1.5209105775647478
helmholtz,65,0.01,1,1,432.08367466926575,0.0010864734649658203,0.8588678467486035
helmholtz,30,0.01,1,2,319.29990243911743,0.0008928775787353516,1.293222615127817
helmholtz,17,0.01,1,3,266.19872999191284,0.0008494853973388672,3.3969727095001505
helmholtz,60,0.01,1,1,443.6484639644623,0.001987934112548828,0.930109089293386
helmholtz,35,0.01,1,2,235.75176000595093,0.0008146762847900391,2.2043968578621573
helmholtz,45,0.01,1,1,468.0375735759735,0.0011954307556152344,0.922043369528293
helmholtz,13,0.01,1,3,242.8115553855896,0.0008189678192138672,29.824793339708457
helmholtz,15,0.01,1,3,267.7422456741333,0.0008261203765869141,7.498418273030756
helmholtz,10,0.01,1,3,302.73081636428833,0.0009675025939941406,101.78266987598268
helmholtz,20,0.01,1,2,406.63581013679504,0.0009219646453857422,2.042238025081974
helmholtz,12,0.01,1,3,291.6503894329071,0.0008704662322998047,136.74317342256774
helmholtz,11,0.01,1,3,302.5928997993469,0.0009508132934570312,104.88435241488587
helmholtz,16,0.01,1,3,297.5926761627197,0.0008115768432617188,5.90261780699783
helmholtz,7,0.01,1,3,527.3910236358643,0.0010037422180175781,205.06772447669434
helmholtz,75,0.01,1,2,502.988924741745,0.0009291172027587891,1.0736993351013446
helmholtz,50,0.01,1,2,368.80970430374146,0.0010533332824707031,0.8632281255964618
helmholtz,25,0.01,1,3,359.351655960083,0.0009343624114990234,1.1572334992201112
helmholtz,14,0.01,1,3,355.4615890979767,0.0008027553558349609,4.166606597526325
helmholtz,18,0.01,1,3,361.3523790836334,0.0009007453918457031,2.8645747412497014
helmholtz,9,0.01,1,3,431.68234634399414,0.0009558200836181641,143.22767610771706
helmholtz,55,0.01,1,2,370.7177073955536,0.0010831356048583984,1.3367312510362295
helmholtz,40,0.01,1,2,472.0212688446045,0.0010936260223388672,1.2667206614183257
helmholtz,8,0.01,1,3,453.8216128349304,0.0011212825775146484,188.98362010944265
helmholtz,10,0.01,1,4,212.6381232738495,0.0010979175567626953,149.85384243931978
helmholtz,15,0.01,1,4,263.7031524181366,0.0008208751678466797,8.5904565151103
helmholtz,19,0.01,1,3,388.0998558998108,0.0009028911590576172,2.3287817902026213
helmholtz,65,0.01,1,2,411.2118082046509,0.0014553070068359375,0.9381864782076563
helmholtz,35,0.01,1,3,356.5179588794708,0.0009016990661621094,1.269106638629038
helmholtz,12,0.01,1,4,264.68934774398804,0.0008420944213867188,79.09337748342134
helmholtz,17,0.01,1,4,429.32733964920044,0.0008833408355712891,4.000593814226685
helmholtz,13,0.01,1,4,365.97744584083557,0.0008256435394287109,11.198344015817863
helmholtz,45,0.01,1,2,411.1532244682312,0.0010323524475097656,0.7841067620499961
helmholtz,20,0.01,1,3,342.3562204837799,0.0009171962738037109,1.4959648102756966
helmholtz,30,0.01,1,3,483.6822383403778,0.0008814334869384766,1.5775178426955132
helmholtz,11,0.01,1,4,317.72315073013306,0.0009272098541259766,25.68813859647461
helmholtz,7,0.01,1,4,320.5314316749573,0.0009632110595703125,137.03132475310477
