eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
interior_layer,6,0.01,1,0,69.40138578414917,0.002652406692504883,11.96301930173614
interior_layer,8,0.01,1,0,112.79722952842712,0.002314329147338867,6.3422904605669235
interior_layer,11,0.01,1,0,118.1369640827179,0.003484964370727539,1.685791606540905
interior_layer,10,0.01,1,0,133.70768094062805,0.015631914138793945,5.552350347126987
interior_layer,9,0.01,1,0,148.55443930625916,0.002456188201904297,4.270676176950712
interior_layer,16,0.01,1,0,120.86186575889587,0.004355907440185547,1.2380044145104625
interior_layer,19,0.01,1,0,141.15180110931396,0.0016956329345703125,0.9890038966774231
interior_layer,40,0.01,1,0,142.77077507972717,0.0021619796752929688,0.6622860871042474
interior_layer,35,0.01,1,0,146.27546310424805,0.0020291805267333984,0.6219930601955853
interior_layer,30,0.01,1,0,152.13222551345825,0.003181934356689453,0.7330302018091354
interior_layer,70,0.01,1,0,156.49103927612305,0.002294301986694336,0.6182226517071062
interior_layer,7,0.01,1,0,192.4730875492096,0.005032777786254883,10.141278561882611
interior_layer,20,0.01,1,0,178.60988998413086,0.005560159683227539,0.835175797878232
interior_layer,45,0.01,1,0,178.7561571598053,0.0033605098724365234,0.6137685549812015
interior_layer,17,0.01,1,0,195.0083453655243,0.007231712341308594,1.1257736589570406
interior_layer,8,0.01,1,1,133.35891699790955,0.0008709430694580078,6.542204416924727
interior_layer,65,0.01,1,0,221.22630524635315,0.02874016761779785,0.7126323419575418
interior_layer,13,0.01,1,0,225.97197008132935,0.003028392791748047,1.3549318499381504
interior_layer,50,0.01,1,0,229.8473026752472,0.011284828186035156,0.7070875758502366
interior_layer,55,0.01,1,0,231.1976478099823,0.003084421157836914,0.6167418250756292
interior_layer,18,0.01,1,0,236.44039058685303,0.010981082916259766,1.0011188619475002
interior_layer,25,0.01,1,0,243.75669956207275,0.008526086807250977,0.8002883486842095
interior_layer,10,0.01,1,1,143.6490592956543,0.0007898807525634766,2.2788004521303638
interior_layer,60,0.01,1,0,249.13307976722717,0.022610187530517578,0.581702862103583
interior_layer,11,0.01,1,1,166.57941937446594,0.0007925033569335938,2.17395320590515
interior_layer,16,0.01,1,1,149.83312392234802,0.0008656978607177734,1.4237463545576496
interior_layer,15,0.01,1,0,271.97206711769104,0.02768993377685547,1.6749758934180656
interior_layer,7,0.01,1,1,122.24238443374634,0.0008170604705810547,7.374413532465046
interior_layer,15,0.01,1,1,26.874882221221924,0.0009009838104248047,2.3002125846412684
interior_layer,6,0.01,1,1,271.4237561225891,0.0007021427154541016,11.16971851520966
interior_layer,70,0.01,1,1,151.8491759300232,0.0008196830749511719,0.5988914450612823
interior_layer,19,0.01,1,1,167.95520496368408,0.0008473396301269531,0.833600745569624
interior_layer,17,0.01,1,1,125.0072968006134,0.0008416175842285156,0.820925134504618
interior_layer,2,0.01,1,0,371.64735984802246,0.0054395198822021484,124.67628067052927
interior_layer,75,0.01,1,0,357.346312046051,0.024209260940551758,0.6117087567843486
interior_layer,45,0.01,1,1,193.39401268959045,0.0007786750793457031,0.6326654629309881
interior_layer,13,0.01,1,1,153.0889298915863,0.0008931159973144531,2.0086902699424827
interior_layer,35,0.01,1,1,241.69564247131348,0.00084686279296875,0.6486772920859282
interior_layer,6,0.01,1,2,95.70468425750732,0.0007205009460449219,9.945423072455
interior_layer,5,0.01,1,0,445.66171002388,0.023934364318847656,55.067100272803025
interior_layer,10,0.01,1,2,160.6175022125244,0.0007927417755126953,3.6839877548320668
interior_layer,40,0.01,1,1,264.56441164016724,0.0008482933044433594,0.6315800122767512
interior_layer,30,0.01,1,1,260.66021490097046,0.0008203983306884766,0.7377728485330146
interior_layer,65,0.01,1,1,192.15200853347778,0.0008101463317871094,0.5819775090734126
interior_layer,20,0.01,1,1,240.79744505882263,0.0007848739624023438,0.9621378735438785
interior_layer,7,0.01,1,2,137.23521041870117,0.0008029937744140625,6.734304000370122
interior_layer,11,0.01,1,2,171.69481444358826,0.0008101463317871094,1.4838776286146989
interior_layer,3,0.01,1,0,470.6376657485962,0.0031557083129882812,119.23731370611752
interior_layer,4,0.01,1,0,471.510249376297,0.003112316131591797,81.62026304727179
interior_layer,9,0.01,1,1,320.30005645751953,0.0007951259613037109,6.709602241451465
interior_layer,2,0.01,1,1,107.31402254104614,0.0010635852813720703,276.08490175582375
interior_layer,50,0.01,1,1,209.44953989982605,0.001074075698852539,0.8002613326494825
interior_layer,55,0.01,1,1,229.00507712364197,0.0010998249053955078,0.6183300840657988
interior_layer,18,0.01,1,1,249.30699586868286,0.00080108642578125,0.8668553051133827
interior_layer,60,0.01,1,1,241.43569135665894,0.000926971435546875,0.5730591622671729
interior_layer,8,0.01,1,2,279.31702756881714,0.0008146762847900391,5.384477325807778
interior_layer,25,0.01,1,1,271.52404165267944,0.0008332729339599609,0.7036640443734259
interior_layer,4,0.01,1,1,101.10847330093384,0.0008268356323242188,17.12919906040758
interior_layer,6,0.01,1,3,137.9038646221161,0.0007643699645996094,16.258107249946573
interior_layer,70,0.01,1,2,239.2602677345276,0.0008211135864257812,0.5759609434467268
interior_layer,3,0.01,1,1,122.63340997695923,0.0009064674377441406,77.11018442883496
interior_layer,65,0.01,1,2,152.00557112693787,0.0008261203765869141,0.5875525347230746
interior_layer,2,0.01,1,2,142.03975415229797,0.0009987354278564453,100.00609554677023
interior_layer,7,0.01,1,3,163.79097318649292,0.0008294582366943359,5.531316282230305
interior_layer,11,0.01,1,3,194.38657140731812,0.0008192062377929688,4.5733178127198215
interior_layer,9,0.01,1,2,182.82374691963196,0.0007836818695068359,3.5901862060165013
interior_layer,35,0.01,1,2,239.3212375640869,0.0008318424224853516,0.6308384440498759
interior_layer,45,0.01,1,2,278.3444035053253,0.0007877349853515625,0.6682795280618221
