eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
laplace,10,0.01,1,0,113.21900844573975,0.03452587127685547,3.7310827690768664
laplace,3,0.01,1,0,198.62440419197083,0.018946409225463867,141.34697990022588
laplace,4,0.01,1,0,242.70908403396606,0.018062829971313477,18.525037286844448
laplace,5,0.01,1,0,249.52492904663086,0.008399248123168945,19.765995005354934
laplace,6,0.01,1,0,249.908203125,0.015357017517089844,1.7004830216212043
laplace,13,0.01,1,0,210.73284554481506,0.011228322982788086,0.8267189910493845
laplace,18,0.01,1,0,227.82818293571472,0.01957535743713379,0.6139235821667614
laplace,7,0.01,1,0,243.09886813163757,0.009524822235107422,1.406657704085878
laplace,11,0.01,1,0,260.24521827697754,0.05792689323425293,0.8959491611732687
laplace,55,0.01,1,0,260.8155617713928,0.04031038284301758,0.6358108359632579
laplace,40,0.01,1,0,275.6505777835846,0.032061100006103516,0.596905858496444
laplace,9,0.01,1,0,280.8302471637726,0.01796889305114746,1.0086008673496665
laplace,30,0.01,1,0,282.1372563838959,0.008565902709960938,0.6723673431797796
laplace,8,0.01,1,0,285.1527647972107,0.014856338500976562,1.096788611694003
laplace,65,0.01,1,0,287.3815407752991,0.023289918899536133,0.5705172153566376
laplace,25,0.01,1,0,294.72824239730835,0.022110939025878906,0.6421089116272175
laplace,19,0.01,1,0,311.17810463905334,0.008330583572387695,0.6559773169901435
laplace,35,0.01,1,0,317.4554307460785,0.026198387145996094,0.6385002103424539
laplace,20,0.01,1,0,317.49250745773315,0.01109766960144043,0.7078780522132605
laplace,16,0.01,1,0,321.65533471107483,0.019784212112426758,0.7980000207039382
laplace,70,0.01,1,0,329.53485441207886,0.007810354232788086,0.6047310134325589
laplace,14,0.01,1,0,343.9972195625305,0.00994873046875,0.7657956476807694
laplace,45,0.01,1,0,353.59556555747986,0.011151790618896484,0.5949189198553558
laplace,17,0.01,1,0,356.7948651313782,0.013702154159545898,0.6785044080584226
laplace,12,0.01,1,0,366.9700903892517,0.017603397369384766,0.8864247310501416
laplace,60,0.01,1,0,381.7757046222687,0.018352985382080078,0.5935964223843184
laplace,75,0.01,1,0,383.6440305709839,0.009569168090820312,0.546283717238269
laplace,2,0.01,1,0,432.22705578804016,0.006494998931884766,97.59315575734273
laplace,50,0.01,1,0,385.68767976760864,0.0157928466796875,0.6125112049706484
laplace,15,0.01,1,0,407.795001745224,0.008551836013793945,0.8592720667516364
laplace,5,0.01,1,1,279.54890060424805,0.002885103225708008,9.776266682347071
laplace,13,0.01,1,1,280.48277378082275,0.0029897689819335938,0.9127248599838175
laplace,10,0.01,1,1,402.68132615089417,0.0037834644317626953,0.808100098981467
laplace,6,0.01,1,1,320.5923795700073,0.0025653839111328125,8.32025631067611
laplace,11,0.01,1,1,262.17906069755554,0.0031495094299316406,0.8377115763381074
laplace,30,0.01,1,1,263.7542550563812,0.002649068832397461,0.6202967230239573
laplace,8,0.01,1,1,261.06587958335876,0.001689910888671875,0.8048226889356271
laplace,40,0.01,1,1,339.6279101371765,0.003939151763916016,0.707972342340407
laplace,20,0.01,1,1,308.6551785469055,0.0029997825622558594,0.7671894613291174
laplace,19,0.01,1,1,316.78820991516113,0.0029108524322509766,0.5905073887642659
laplace,25,0.01,1,1,336.4986069202423,0.0024149417877197266,0.6130889580009148
