eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
mean_condition,17,0.01,1,0,74.02993297576904,0.012665271759033203,98.35207818191464
mean_condition,19,0.01,1,0,84.90774941444397,0.008885622024536133,98.35274043199884
mean_condition,18,0.01,1,0,86.2390570640564,0.0027229785919189453,98.3551226027254
mean_condition,6,0.01,1,0,104.13549947738647,0.009250879287719727,98.41365541061077
mean_condition,15,0.01,1,0,83.06266808509827,0.0024530887603759766,98.35115552388291
mean_condition,4,0.01,1,0,111.14787745475769,0.00887441635131836,98.2778036052579
mean_condition,12,0.01,1,0,75.06353902816772,0.009621143341064453,98.3499633299107
mean_condition,40,0.01,1,0,86.4333188533783,0.07867288589477539,98.3543407188001
mean_condition,35,0.01,1,0,73.35727858543396,0.05680084228515625,98.34995300971259
mean_condition,45,0.01,1,0,91.1864881515503,0.031688690185546875,98.3533502438762
mean_condition,65,0.01,1,0,118.91490960121155,0.014748096466064453,98.35204150517004
mean_condition,13,0.01,1,0,94.36181402206421,0.0033102035522460938,98.3511927209277
mean_condition,70,0.01,1,0,123.8860375881195,0.004176616668701172,98.35244994932705
mean_condition,5,0.01,1,0,135.298344373703,0.021980762481689453,98.26335135427564
mean_condition,50,0.01,1,0,130.28993487358093,0.004761934280395508,98.35187500870337
mean_condition,55,0.01,1,0,131.40054607391357,0.005669832229614258,98.35188795224134
mean_condition,14,0.01,1,0,118.67730212211609,0.004664421081542969,98.35063209432636
mean_condition,2,0.01,1,0,146.83562183380127,0.0071299076080322266,97.9844972820225
mean_condition,75,0.01,1,0,150.2445104122162,0.010960817337036133,98.35275965173204
mean_condition,20,0.01,1,0,162.82752990722656,0.010497093200683594,98.3535923012145
mean_condition,30,0.01,1,0,166.6693775653839,0.015392541885375977,98.35355072576854
mean_condition,60,0.01,1,0,170.07304215431213,0.008532524108886719,98.353165842218
mean_condition,35,0.01,1,1,67.17775082588196,0.0009098052978515625,98.35393000279845
mean_condition,25,0.01,1,0,175.6096227169037,0.025408506393432617,98.35086665763998
mean_condition,17,0.01,1,1,104.19958233833313,0.0011110305786132812,98.35982474277525
mean_condition,19,0.01,1,1,94.03268575668335,0.0010075569152832031,98.35212066184124
mean_condition,15,0.01,1,1,88.4146933555603,0.0008907318115234375,98.35528601393666
mean_condition,12,0.01,1,1,89.0102288722992,0.0010256767272949219,98.34741761786947
mean_condition,45,0.01,1,1,86.00946235656738,0.0010027885437011719,98.3536785272628
