eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
potential_barrier,2,0.01,1,0,206.7534921169281,0.016971111297607422,205.88540760436683
potential_barrier,55,0.01,1,0,207.91765928268433,0.01096487045288086,0.6625153561665096
potential_barrier,75,0.01,1,0,229.86288356781006,0.009979963302612305,0.6401196346943484
potential_barrier,50,0.01,1,0,248.13220024108887,0.004862546920776367,0.5923364442866301
potential_barrier,40,0.01,1,0,288.8135075569153,0.01236271858215332,0.7085615636474157
potential_barrier,4,0.01,1,0,290.9950430393219,0.006018161773681641,262.05143040668906
potential_barrier,65,0.01,1,0,303.5027015209198,0.0066869258880615234,0.5910358620088648
potential_barrier,45,0.01,1,0,321.53758120536804,0.016498804092407227,0.7061325534500353
potential_barrier,15,0.01,1,0,401.4886665344238,0.012003183364868164,9.72194296547331
potential_barrier,70,0.01,1,0,404.6572368144989,0.01198434829711914,0.6495168971412011
potential_barrier,55,0.01,1,1,224.3068287372589,0.0009338855743408203,0.5924868224923284
potential_barrier,75,0.01,1,1,236.88665628433228,0.0009665489196777344,0.6231916566435396
potential_barrier,50,0.01,1,1,307.0801603794098,0.0012555122375488281,0.6892023897941174
potential_barrier,65,0.01,1,1,296.8782060146332,0.0010271072387695312,0.6044072731633799
potential_barrier,70,0.01,1,1,213.3568332195282,0.0016832351684570312,0.6147276856120706
potential_barrier,55,0.01,1,2,223.14662194252014,0.0010192394256591797,0.6132030822038169
potential_barrier,40,0.01,1,1,399.0775158405304,0.0017609596252441406,0.754734748479861
potential_barrier,19,0.01,1,0,742.9160914421082,0.0040776729583740234,3.5909930844004427
potential_barrier,8,0.01,1,0,746.2130351066589,0.006999969482421875,41.899169279111184
potential_barrier,6,0.01,1,0,776.7855968475342,0.006264686584472656,141.18279053071424
potential_barrier,45,0.01,1,1,454.4103946685791,0.0010862350463867188,0.6831684375101309
potential_barrier,9,0.01,1,0,798.2414608001709,0.005584001541137695,41.14484559025078
potential_barrier,5,0.01,1,0,803.4517164230347,0.013759136199951172,146.7438321336014
potential_barrier,75,0.01,1,2,355.5916566848755,0.0013210773468017578,0.5963749781757918
potential_barrier,25,0.01,1,0,834.6077015399933,0.003825664520263672,1.5015912927191792
potential_barrier,20,0.01,1,0,877.0831444263458,0.010712623596191406,5.037320730713365
potential_barrier,3,0.01,1,0,913.5935907363892,0.017976045608520508,290.7416072979831
potential_barrier,65,0.01,1,2,318.75319027900696,0.0014834403991699219,0.6027113512252384
potential_barrier,70,0.01,1,2,437.9460413455963,0.0014848709106445312,0.5902336457839852
potential_barrier,7,0.01,1,0,1095.568611383438,0.00803828239440918,129.00376375258372
potential_barrier,4,0.01,1,1,805.9260427951813,0.0019059181213378906,133.22985640060037
potential_barrier,2,0.01,1,1,909.3175721168518,0.0019829273223876953,118.33650096568205
potential_barrier,75,0.01,1,3,386.07339811325073,0.0014984607696533203,0.6115873817595041
potential_barrier,55,0.01,1,3,620.2736265659332,0.0010111331939697266,0.6272797223829868
potential_barrier,11,0.01,1,0,1280.86789560318,0.009931087493896484,39.809042572282785
potential_barrier,17,0.01,1,0,1359.7545499801636,0.006013154983520508,5.668115892665701
potential_barrier,50,0.01,1,2,804.5853638648987,0.0015430450439453125,0.8167123180258357
potential_barrier,60,0.01,1,0,1380.072595357895,0.004231929779052734,0.8513544129838679
potential_barrier,10,0.01,1,0,1396.500379562378,0.0050427913665771484,26.81926280442951
potential_barrier,18,0.01,1,0,1469.6780338287354,0.010923624038696289,7.074104456425174
potential_barrier,30,0.01,1,0,1480.2196507453918,0.02486109733581543,1.6417794835321249
potential_barrier,70,0.01,1,3,530.271478176117,0.0021347999572753906,0.6167428401287309
potential_barrier,3,0.01,1,1,709.5354595184326,0.0025331974029541016,193.89604455759664
potential_barrier,55,0.01,1,4,361.7199738025665,0.0012145042419433594,0.6385083534176362
potential_barrier,5,0.01,1,1,869.4660413265228,0.0012638568878173828,176.90988649855828
potential_barrier,45,0.01,1,2,903.6048991680145,0.0014386177062988281,0.802794735345696
potential_barrier,8,0.01,1,1,994.857321023941,0.0012197494506835938,60.18485735428983
potential_barrier,12,0.01,1,0,1784.4893996715546,0.02050948143005371,12.110587023318613
potential_barrier,2,0.01,1,2,667.5694060325623,0.001985788345336914,423.65774047497115
potential_barrier,13,0.01,1,0,1798.9272389411926,0.01474618911743164,21.564986457696513
potential_barrier,60,0.01,1,1,462.8093259334564,0.0012319087982177734,0.6448979432625781
potential_barrier,45,0.01,1,3,247.0715765953064,0.0010669231414794922,0.644465218156194
potential_barrier,4,0.01,1,2,855.0670228004456,0.0016047954559326172,111.08853255983936
potential_barrier,6,0.01,1,1,1323.5637929439545,0.0016260147094726562,84.25105372263509
potential_barrier,19,0.01,1,1,1428.5177392959595,0.0011680126190185547,3.8416953076095286
potential_barrier,35,0.01,1,0,2203.2885217666626,0.018662214279174805,1.561859819008348
potential_barrier,14,0.01,1,0,2219.727591753006,0.0036792755126953125,18.19769950845446
potential_barrier,16,0.01,1,0,2265.6362915039062,0.012374162673950195,7.028116182012282
potential_barrier,45,0.01,1,4,366.1646499633789,0.001528024673461914,0.6079259475632875
potential_barrier,25,0.01,1,1,1473.3449120521545,0.000986337661743164,1.5466020876806883
potential_barrier,20,0.01,1,1,1435.6089043617249,0.0009565353393554688,5.551528644233217
potential_barrier,60,0.01,1,2,483.48002004623413,0.0016040802001953125,0.6427174756339749
potential_barrier,3,0.01,1,2,718.872555732727,0.0013194084167480469,166.83745972268494
potential_barrier,65,0.01,1,3,1429.1580154895782,0.0011327266693115234,0.7357642588915805
potential_barrier,2,0.01,1,3,570.807902097702,0.001394033432006836,107.65319867075928
potential_barrier,9,0.01,1,1,1564.0453367233276,0.0009903907775878906,17.544747097532785
potential_barrier,10,0.01,1,1,987.9785842895508,0.00133514404296875,23.852301076909928
potential_barrier,8,0.01,1,2,648.3826394081116,0.0009427070617675781,49.91983402631681
potential_barrier,7,0.01,1,1,1304.4879927635193,0.0011975765228271484,42.46403039910231
potential_barrier,70,0.01,1,4,873.1576271057129,0.0014529228210449219,0.630654845933856
