eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
schrodinger,75,0.01,1,0,565.1485385894775,0.016254425048828125,0.7299054282072642
schrodinger,65,0.01,1,0,622.9564518928528,0.013600826263427734,0.6874907926006468
schrodinger,70,0.01,1,0,777.7230241298676,0.006225109100341797,0.5759018408489959
schrodinger,3,0.01,1,0,927.4523499011993,0.008561849594116211,179.2896776800255
schrodinger,2,0.01,1,0,930.2009501457214,0.008614778518676758,221.31161207038667
schrodinger,14,0.01,1,0,982.1995942592621,0.009778261184692383,1.5415781780104203
schrodinger,10,0.01,1,0,1071.2309522628784,0.017300128936767578,4.3821843641917
schrodinger,13,0.01,1,0,1077.5662639141083,0.047499895095825195,2.678281300415635
schrodinger,7,0.01,1,0,1102.812435388565,0.010539054870605469,9.861054317150504
schrodinger,6,0.01,1,0,1131.1119847297668,0.012752294540405273,38.77133999164541
schrodinger,11,0.01,1,0,1222.1694793701172,0.01911759376525879,2.5920309977483793
schrodinger,65,0.01,1,1,611.4103879928589,0.0013918876647949219,0.6209928935223982
schrodinger,12,0.01,1,0,1237.3763387203217,0.006464481353759766,2.051262735610827
schrodinger,20,0.01,1,0,1237.6636898517609,0.009970903396606445,1.00671924378659
schrodinger,40,0.01,1,0,1254.6448912620544,0.007983207702636719,0.820541042948705
schrodinger,70,0.01,1,1,497.42207956314087,0.0013759136199951172,0.6540983552278963
schrodinger,9,0.01,1,0,1338.3875668048859,0.032369375228881836,5.373532257102806
schrodinger,55,0.01,1,0,1354.288745880127,0.0073397159576416016,0.63999232468156
schrodinger,75,0.01,1,1,791.7393646240234,0.0015103816986083984,0.5704485721023738
schrodinger,17,0.01,1,0,1362.0067093372345,0.0061492919921875,1.3063772247751408
schrodinger,30,0.01,1,0,1390.657786846161,0.010373830795288086,0.7260869422883687
schrodinger,50,0.01,1,0,1395.3934733867645,0.015568971633911133,0.7286321321973344
schrodinger,15,0.01,1,0,1420.893230676651,0.03149604797363281,1.8783172515066444
schrodinger,5,0.01,1,0,1434.5930473804474,0.008957147598266602,137.22469110017542
schrodinger,60,0.01,1,0,1442.4891803264618,0.0075032711029052734,0.6004635348288215
schrodinger,25,0.01,1,0,1481.67209649086,0.014372110366821289,0.8353992849843787
schrodinger,4,0.01,1,0,1500.246749162674,0.008188009262084961,242.91670429608496
