eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
variable_coeffs,2,0.01,1,0,1081.4909899234772,0.023873090744018555,136.362030528393
variable_coeffs,3,0.01,1,0,1260.0011491775513,0.00642848014831543,147.70586513267136
variable_coeffs,4,0.01,1,0,1624.212628364563,0.027001142501831055,142.55090393017855
variable_coeffs,17,0.01,1,0,2025.1559581756592,0.04958057403564453,145.11632880203894
variable_coeffs,2,0.01,1,1,957.4415302276611,0.002813100814819336,132.7869446515388
variable_coeffs,5,0.01,1,0,2170.430471420288,0.016890764236450195,143.52113241707997
variable_coeffs,16,0.01,1,0,2483.3460297584534,0.06022930145263672,146.4107956747022
variable_coeffs,2,0.01,1,2,557.4811906814575,0.0027337074279785156,137.39282854425707
variable_coeffs,6,0.01,1,0,2603.4052681922913,0.0366213321685791,146.69437071077303
variable_coeffs,75,0.01,1,0,2699.435835123062,0.01909947395324707,144.98144857603964
variable_coeffs,25,0.01,1,0,2708.538998365402,0.010116338729858398,144.81381143646303
variable_coeffs,50,0.01,1,0,2827.4315979480743,0.015682458877563477,144.9595294451514
variable_coeffs,18,0.01,1,0,2875.274032831192,0.010633707046508789,145.26167347090112
variable_coeffs,8,0.01,1,0,2877.4776842594147,0.017001867294311523,145.4757973734822
variable_coeffs,12,0.01,1,0,2878.129505634308,0.006778240203857422,147.2165697497276
variable_coeffs,4,0.01,1,1,1285.384994506836,0.0041201114654541016,150.54614725692602
variable_coeffs,3,0.01,1,1,1665.6661200523376,0.0036017894744873047,147.34445081601805
variable_coeffs,45,0.01,1,0,2959.5569400787354,0.015386343002319336,144.92899242966158
variable_coeffs,15,0.01,1,0,2984.2157497406006,0.010140657424926758,145.5767280850588
variable_coeffs,19,0.01,1,0,3036.12397313118,0.014812231063842773,144.61190490409433
variable_coeffs,9,0.01,1,0,3109.069190979004,0.026686429977416992,144.983810278231
variable_coeffs,7,0.01,1,0,3113.112452507019,0.006661176681518555,146.19182662993612
variable_coeffs,14,0.01,1,0,3218.747403860092,0.024952411651611328,144.9719271452775
variable_coeffs,13,0.01,1,0,3397.443454504013,0.009223222732543945,145.77514184675002
variable_coeffs,2,0.01,1,3,864.0186173915863,0.0023949146270751953,164.22931455735278
variable_coeffs,20,0.01,1,0,3483.763048171997,0.018804073333740234,144.76973689750224
variable_coeffs,35,0.01,1,0,3543.715824842453,0.007221698760986328,144.81278098448104
variable_coeffs,40,0.01,1,0,3567.2478046417236,0.022105932235717773,144.8633165810446
variable_coeffs,60,0.01,1,0,3580.6437294483185,0.023797988891601562,144.9373630880228
variable_coeffs,3,0.01,1,2,769.4002902507782,0.001390695571899414,132.8476908884404
variable_coeffs,4,0.01,1,2,899.7769551277161,0.001508951187133789,141.9713037133684
variable_coeffs,10,0.01,1,0,3822.249311685562,0.01418924331665039,145.27712905191078
variable_coeffs,5,0.01,1,1,1650.9672935009003,0.0015206336975097656,150.67756390969848
variable_coeffs,70,0.01,1,0,3842.6631350517273,0.019594669342041016,144.9160956043508
variable_coeffs,65,0.01,1,0,3844.203685283661,0.005476951599121094,144.98257310408957
variable_coeffs,6,0.01,1,1,1340.3803281784058,0.0012912750244140625,144.7374031528184
variable_coeffs,2,0.01,1,4,479.0581407546997,0.0010020732879638672,164.4068366175537
variable_coeffs,75,0.01,1,1,1383.0420463085175,0.0008594989776611328,144.9817159060697
variable_coeffs,55,0.01,1,0,4102.352723360062,0.00997614860534668,144.88663759677715
variable_coeffs,8,0.01,1,1,1245.2107434272766,0.0019714832305908203,147.2467558380067
variable_coeffs,11,0.01,1,0,4153.235192537308,0.01237034797668457,145.41932353244067
variable_coeffs,5,0.01,1,2,485.8126254081726,0.001148223876953125,163.7935269802506
variable_coeffs,4,0.01,1,3,513.0751395225525,0.001210927963256836,152.06599852667577
variable_coeffs,3,0.01,1,3,667.4794502258301,0.0010242462158203125,146.53512832610082
variable_coeffs,30,0.01,1,0,4418.407353401184,0.007176399230957031,144.78537824624982
variable_coeffs,6,0.01,1,2,503.9542553424835,0.0009639263153076172,152.99118983652752
variable_coeffs,7,0.01,1,1,1487.2176110744476,0.0021915435791015625,146.6774059871509
variable_coeffs,4,0.01,1,4,315.8772339820862,0.000986337661743164,149.54467631990903
variable_coeffs,18,0.01,1,1,1769.7812087535858,0.0021109580993652344,146.0070070048594
variable_coeffs,5,0.01,1,3,407.8318860530853,0.0010521411895751953,151.96431367702777
variable_coeffs,3,0.01,1,4,402.89985942840576,0.0009660720825195312,157.5672275716137
variable_coeffs,9,0.01,1,1,1689.7798552513123,0.0021295547485351562,143.2093641970375
variable_coeffs,75,0.01,1,2,827.7882723808289,0.0008091926574707031,144.9621124910423
