eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
helmholtz,75,0.1122449,1,0,112.19032382965088,0.006530284881591797,3.497449445501032
helmholtz,75,0.13265306,1,0,149.96805453300476,0.009195089340209961,4.162316518558909
helmholtz,75,0.06122449,1,0,152.05942821502686,0.0022001266479492188,2.2160746307750894
helmholtz,75,0.17346939,1,0,148.95960092544556,0.015277385711669922,5.156228572181085
helmholtz,75,0.15306122,1,0,151.52638864517212,0.01112055778503418,5.100516431646919
helmholtz,75,0.12244898,1,0,158.18455839157104,0.002163410186767578,3.9126208970977947
helmholtz,75,0.07142857,1,0,158.55935549736023,0.0027709007263183594,2.3563741740454414
helmholtz,75,0.16326531,1,0,157.52180123329163,0.00885319709777832,4.79934391243472
helmholtz,75,0.09183673,1,0,166.651211977005,0.00218963623046875,2.930307451997884
helmholtz,75,0.10204082,1,0,167.82835245132446,0.004406452178955078,3.1969700388870828
helmholtz,75,0.41836735,1,0,164.1046199798584,0.014073371887207031,10.512408960998771
helmholtz,75,0.18367347,1,0,164.45997977256775,0.0025081634521484375,4.90661456743246
helmholtz,75,0.03061224,1,0,180.02321934700012,0.0036199092864990234,1.4314874433555809
helmholtz,75,0.20408163,1,0,177.38783931732178,0.00754547119140625,5.956078901359088
helmholtz,75,0.05102041,1,0,166.16613054275513,0.005327939987182617,2.0417964122067014
helmholtz,75,0.04081633,1,0,204.02931594848633,0.00487828254699707,1.6340761691226446
helmholtz,75,0.2755102,1,0,190.0541434288025,0.018198013305664062,7.425527312729398
helmholtz,75,0.14285714,1,0,213.9085636138916,0.003979921340942383,4.072627863335371
helmholtz,75,0.02040816,1,0,214.65677523612976,0.0030426979064941406,1.134391890000183
helmholtz,75,0.01020408,1,0,220.90640425682068,0.002953767776489258,1.1156014783432886
helmholtz,75,0.29591837,1,0,211.55693912506104,0.0033524036407470703,7.9524507052654725
helmholtz,75,0.24489796,1,0,183.33286476135254,0.019251346588134766,7.177042884520956
helmholtz,75,0.47959184,1,0,235.0892095565796,0.006476402282714844,11.119471930532415
helmholtz,75,0.08163265,1,0,252.420476436615,0.05853104591369629,2.9126704880148924
helmholtz,75,0.36734694,1,0,291.87796354293823,0.0055119991302490234,12.756989030819815
helmholtz,75,0.37755102,1,0,314.7298917770386,0.010238885879516602,14.34235345892482
helmholtz,75,0.06122449,1,1,170.70661735534668,0.0008339881896972656,2.3798687611434963
helmholtz,75,0.13265306,1,1,174.7064332962036,0.0010211467742919922,3.830628392674325
helmholtz,75,0.15306122,1,1,168.6605577468872,0.0008027553558349609,4.587314648358108
helmholtz,75,0.1122449,1,1,241.1130986213684,0.0008680820465087891,4.054794823086567
helmholtz,75,0.16326531,1,1,199.2021768093109,0.0007967948913574219,4.7873439695106805
helmholtz,75,0.09183673,1,1,199.28211331367493,0.0010576248168945312,3.0422488758289825
helmholtz,75,0.05102041,1,1,175.13838076591492,0.0007739067077636719,1.9379904103863526
helmholtz,75,0.07142857,1,1,215.97747159004211,0.0009095668792724609,2.4863224509291677
helmholtz,75,0.31632653,1,0,386.83499932289124,0.018123388290405273,10.16896210434672
helmholtz,75,0.03061224,1,1,255.38076305389404,0.0008561611175537109,1.632100125286215
helmholtz,75,0.02040816,1,1,222.9407639503479,0.0008313655853271484,1.1821539486181993
helmholtz,75,0.04081633,1,1,234.74001145362854,0.0008156299591064453,1.6033987382434396
helmholtz,75,0.18367347,1,1,275.49676990509033,0.001041412353515625,5.253811698482989
helmholtz,75,0.20408163,1,1,272.2494978904724,0.0008563995361328125,5.4301966903998675
helmholtz,75,0.01020408,1,1,246.64994144439697,0.0008726119995117188,1.1151062369063915
helmholtz,75,0.12244898,1,1,334.36080527305603,0.0008802413940429688,4.250293347013832
helmholtz,75,0.08163265,1,1,258.5631308555603,0.0009784698486328125,2.728001111154475
helmholtz,75,0.2755102,1,1,315.312162399292,0.0008161067962646484,9.892843324438209
helmholtz,75,0.05102041,1,2,168.89295077323914,0.0007643699645996094,3.092715543674035
helmholtz,75,0.06122449,1,2,228.0101158618927,0.0008151531219482422,2.145063508473806
helmholtz,75,0.1122449,1,2,207.22060132026672,0.0008726119995117188,3.3070167058251982
