eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
potential_barrier,75,0.08163265,1,0,33.00139665603638,0.02834153175354004,2.0029427586605895
potential_barrier,75,0.42857143,1,0,103.55318260192871,0.00380706787109375,24.15452028239208
potential_barrier,75,0.44897959,1,0,110.58855414390564,0.002490997314453125,25.1854891305466
potential_barrier,75,0.31632653,1,0,145.0120940208435,0.0034072399139404297,17.60632425315366
potential_barrier,75,0.37755102,1,0,154.01996278762817,0.0020570755004882812,21.636174892706137
potential_barrier,75,0.43877551,1,0,159.89070844650269,0.005962371826171875,25.312900588776788
potential_barrier,75,0.46938776,1,0,172.1411316394806,0.003072500228881836,21.97869655169918
potential_barrier,75,0.40816327,1,0,172.9659125804901,0.004260063171386719,24.698293140111222
potential_barrier,75,0.33673469,1,0,178.16190218925476,0.0036411285400390625,20.780703131685524
potential_barrier,75,0.3877551,1,0,183.20676016807556,0.00978708267211914,23.596304312283767
potential_barrier,75,0.30612245,1,0,204.57034182548523,0.0028374195098876953,19.23601565827736
potential_barrier,75,0.36734694,1,0,207.86616349220276,0.0031409263610839844,21.14216126101317
potential_barrier,75,0.29591837,1,0,206.0212185382843,0.0035567283630371094,19.371401603925403
potential_barrier,75,0.5,1,0,215.70862221717834,0.003626585006713867,30.584522251524625
potential_barrier,75,0.34693878,1,0,211.93403697013855,0.0024526119232177734,19.42248194310408
potential_barrier,75,0.48979592,1,0,218.86525225639343,0.0026025772094726562,28.758992475522717
potential_barrier,75,0.41836735,1,0,219.60034227371216,0.002107381820678711,28.201345669953803
potential_barrier,75,0.39795918,1,0,226.2266139984131,0.002335786819458008,26.135511572616625
potential_barrier,75,0.45918367,1,0,229.4587001800537,0.0021216869354248047,30.482177880811523
potential_barrier,75,0.35714286,1,0,244.45455646514893,0.0027823448181152344,22.29638340958377
potential_barrier,75,0.28571429,1,0,257.9598276615143,0.0765526294708252,17.731132553083352
potential_barrier,75,0.47959184,1,0,266.34473991394043,0.07334685325622559,28.740178761740253
potential_barrier,75,0.2244898,1,0,261.75509238243103,0.09445500373840332,13.74733994928001
potential_barrier,75,0.17346939,1,0,262.5998899936676,0.1251065731048584,11.406846174118037
potential_barrier,75,0.25510204,1,0,274.7838261127472,0.08537149429321289,16.135769612228515
potential_barrier,75,0.01020408,1,0,279.9635694026947,0.01304769515991211,0.6352063552026725
potential_barrier,75,0.20408163,1,0,287.4545934200287,0.02413201332092285,13.230867226304241
potential_barrier,75,0.16326531,1,0,294.980051279068,0.007737874984741211,10.30860174213181
potential_barrier,75,0.2755102,1,0,299.89508175849915,0.037990570068359375,18.179572508218897
potential_barrier,75,0.14285714,1,0,299.9890487194061,0.07586431503295898,9.88312837904072
potential_barrier,75,0.21428571,1,0,308.3147625923157,0.01466989517211914,13.071217352704705
potential_barrier,75,0.32653061,1,0,311.6194553375244,0.00475621223449707,21.458744153428817
potential_barrier,75,0.13265306,1,0,318.1448140144348,0.002942800521850586,8.833467944749444
potential_barrier,75,0.23469388,1,0,330.31365847587585,0.0034494400024414062,15.154257174014452
potential_barrier,75,0.40816327,1,1,164.97552943229675,0.0007152557373046875,23.924756457901886
potential_barrier,75,0.37755102,1,1,202.175151348114,0.0007517337799072266,22.12727969514082
potential_barrier,75,0.42857143,1,1,255.1864938735962,0.0007531642913818359,28.395425229431844
potential_barrier,75,0.24489796,1,0,364.76338291168213,0.00391077995300293,16.265554167616695
potential_barrier,75,0.26530612,1,0,364.85664105415344,0.002221345901489258,17.396562873850634
potential_barrier,75,0.43877551,1,1,211.60059094429016,0.0007681846618652344,27.75611799582787
potential_barrier,75,0.31632653,1,1,238.36871552467346,0.0008599758148193359,21.607002587616027
potential_barrier,75,0.12244898,1,0,392.94546818733215,0.004149436950683594,8.316783174159498
