eq,N_train,noise_ratio,resample,repeat,train_wall_time,pred_wall_time,rel_L2_error
schrodinger,75,0.03061224,1,0,207.036851644516,0.0036554336547851562,1.0244948316904705
schrodinger,75,0.02040816,1,0,298.73476243019104,0.004052400588989258,0.7709068242290293
schrodinger,75,0.01020408,1,0,327.6646203994751,0.011864423751831055,0.6310818759626458
schrodinger,75,0.01020408,1,1,125.80418801307678,0.000997304916381836,0.9056799534048918
schrodinger,75,0.43877551,1,0,516.950083732605,0.0023124217987060547,19.076438403873365
schrodinger,75,0.34693878,1,0,522.2179193496704,0.0026252269744873047,18.42737511772816
schrodinger,75,0.32653061,1,0,549.3794550895691,0.006753206253051758,17.10572749120165
schrodinger,75,0.44897959,1,0,545.6867513656616,0.0034105777740478516,25.084638247720083
schrodinger,75,0.2755102,1,0,598.9566593170166,0.004520893096923828,15.95922386949122
schrodinger,75,0.33673469,1,0,595.3409216403961,0.005020618438720703,17.121830911718327
schrodinger,75,0.19387755,1,0,603.043505191803,0.04204297065734863,10.446899416285364
schrodinger,75,0.1122449,1,0,596.8234691619873,0.019216060638427734,4.948927853239122
schrodinger,75,0.24489796,1,0,643.4767401218414,0.013308048248291016,13.511590342792127
schrodinger,75,0.40816327,1,0,668.1582961082458,0.005772590637207031,21.49276470891052
schrodinger,75,0.10204082,1,0,706.0820293426514,0.005705356597900391,4.9667919840915
schrodinger,75,0.28571429,1,0,721.4245493412018,0.005825519561767578,15.371935949661722
schrodinger,75,0.25510204,1,0,725.9456670284271,0.0023288726806640625,14.031219605232145
schrodinger,75,0.35714286,1,0,735.498785495758,0.004525184631347656,19.885296566342962
schrodinger,75,0.47959184,1,0,747.6738741397858,0.014642715454101562,27.859617432361112
schrodinger,75,0.37755102,1,0,748.1465113162994,0.0029850006103515625,20.640536375500286
schrodinger,75,0.03061224,1,1,547.3576881885529,0.0009903907775878906,0.9617109766895992
schrodinger,75,0.46938776,1,0,754.6787803173065,0.008272886276245117,27.573564746549213
schrodinger,75,0.36734694,1,0,758.3523592948914,0.002461671829223633,21.74276128299347
schrodinger,75,0.02040816,1,1,480.34380197525024,0.00092315673828125,0.7473794328963612
schrodinger,75,0.46938776,1,1,46.622164249420166,0.0010640621185302734,5.387632749595441
schrodinger,75,0.18367347,1,0,815.636825799942,0.012142419815063477,9.921007663920783
schrodinger,75,0.30612245,1,0,865.6588778495789,0.015830039978027344,16.51289843251207
schrodinger,75,0.01020408,1,2,411.5092444419861,0.0010044574737548828,0.579025319112686
schrodinger,75,0.23469388,1,0,881.0367906093597,0.005933046340942383,14.542999122867734
schrodinger,75,0.29591837,1,0,892.6430394649506,0.004132747650146484,15.310730049051479
schrodinger,75,0.42857143,1,0,920.3754982948303,0.011995553970336914,23.380824153483214
schrodinger,75,0.15306122,1,0,918.7680218219757,0.0033800601959228516,7.972021041534852
schrodinger,75,0.21428571,1,0,933.1727302074432,0.04249167442321777,12.670220505274438
schrodinger,75,0.5,1,0,940.2370262145996,0.0847787857055664,25.660713732389794
schrodinger,75,0.14285714,1,0,963.8219275474548,0.004565000534057617,8.725143589392292
schrodinger,75,0.39795918,1,0,969.4012334346771,0.027328014373779297,20.658196165825167
schrodinger,75,0.41836735,1,0,982.0955410003662,0.05550265312194824,23.09398706239111
schrodinger,75,0.48979592,1,0,993.051106929779,0.032648563385009766,26.45270228980076
schrodinger,75,0.26530612,1,0,1003.9452407360077,0.10103392601013184,14.383951973961745
schrodinger,75,0.20408163,1,0,1029.79905128479,0.019092559814453125,11.262056602852518
schrodinger,75,0.45918367,1,0,1027.4313969612122,0.06664133071899414,25.56888767403337
schrodinger,75,0.31632653,1,0,1043.2702164649963,0.011401176452636719,17.886192398756407
schrodinger,75,0.2244898,1,0,1064.3205981254578,0.009601831436157227,12.159971574669452
schrodinger,75,0.3877551,1,0,1059.8079390525818,0.01494455337524414,21.0980196353218
schrodinger,75,0.34693878,1,1,539.9119517803192,0.0009171962738037109,16.984172060464545
schrodinger,75,0.06122449,1,0,1082.7618684768677,0.03809499740600586,3.0303763306874183
schrodinger,75,0.09183673,1,0,1098.533632516861,0.0037260055541992188,4.552314985671902
schrodinger,75,0.13265306,1,0,1091.494610786438,0.013422250747680664,7.589555444360855
schrodinger,75,0.02040816,1,2,331.30648279190063,0.0009675025939941406,0.7626376627296755
schrodinger,75,0.05102041,1,0,1121.0979006290436,0.002602815628051758,2.702580693308575
schrodinger,75,0.04081633,1,0,1128.4662556648254,0.0480504035949707,1.79858787531324
schrodinger,75,0.33673469,1,1,568.4838700294495,0.0008993148803710938,17.746213649394992
schrodinger,75,0.16326531,1,0,1203.1404297351837,0.025106430053710938,8.713520567884556
schrodinger,75,0.03061224,1,2,458.8157105445862,0.0009212493896484375,0.8399335861847216
schrodinger,75,0.43877551,1,1,703.1577491760254,0.0008800029754638672,23.94677506609112
schrodinger,75,0.12244898,1,0,1216.9999105930328,0.009352684020996094,6.60989576777898
schrodinger,75,0.44897959,1,1,740.9894621372223,0.0008547306060791016,20.87188922165584
schrodinger,75,0.17346939,1,0,1303.8605589866638,0.05153656005859375,10.749796965236143
schrodinger,75,0.2755102,1,1,738.3435189723969,0.0008361339569091797,16.83206769102309
schrodinger,75,0.1122449,1,1,731.9869236946106,0.0008368492126464844,5.310228413130293
schrodinger,75,0.01020408,1,3,474.02870631217957,0.000972747802734375,0.5523142146342396
schrodinger,75,0.32653061,1,1,802.0193936824799,0.0009324550628662109,17.962163124402977
schrodinger,75,0.08163265,1,0,1425.1564712524414,0.0042951107025146484,4.6334559829926
schrodinger,75,0.19387755,1,1,844.5343863964081,0.0008203983306884766,10.822653427581308
schrodinger,75,0.36734694,1,1,692.1326014995575,0.0009207725524902344,20.666281885273143
schrodinger,75,0.25510204,1,1,770.5351223945618,0.000873565673828125,14.454010827947583
schrodinger,75,0.37755102,1,1,808.7259604930878,0.0009131431579589844,23.623781373969514
schrodinger,75,0.35714286,1,1,867.683337688446,0.0009617805480957031,19.48578911595457
schrodinger,75,0.10204082,1,1,921.3131060600281,0.0008387565612792969,5.099928889149061
schrodinger,75,0.02040816,1,3,570.974169254303,0.0009992122650146484,0.6543972903902328
schrodinger,75,0.03061224,1,3,485.25813603401184,0.0009794235229492188,0.8059449938196767
schrodinger,75,0.01020408,1,4,365.85464549064636,0.0009288787841796875,0.7183828514540019
schrodinger,75,0.47959184,1,1,962.233674287796,0.0013060569763183594,21.277600915872206
schrodinger,75,0.07142857,1,0,1723.8974149227142,0.3227348327636719,3.796888672163395
schrodinger,75,0.24489796,1,1,1087.4678571224213,0.0009484291076660156,16.132912782086752
schrodinger,75,0.34693878,1,2,713.4908545017242,0.0009024143218994141,18.833396561066046
schrodinger,75,0.43877551,1,2,579.5378942489624,0.0008707046508789062,20.854161489791373
schrodinger,75,0.23469388,1,1,950.9091801643372,0.001026153564453125,13.035356602792708
schrodinger,75,0.18367347,1,1,1072.263959646225,0.0011057853698730469,8.959017354685926
schrodinger,75,0.33673469,1,2,741.2790811061859,0.0008976459503173828,18.066090358261782
schrodinger,75,0.39795918,1,1,962.3006105422974,0.0015430450439453125,18.36987206466119
schrodinger,75,0.2755102,1,2,628.0576055049896,0.0008800029754638672,12.500242059885874
schrodinger,75,0.46938776,1,2,1162.6471192836761,0.0013456344604492188,26.441161162076497
schrodinger,75,0.13265306,1,1,891.412713766098,0.0009183883666992188,6.85343398770967
schrodinger,75,0.02040816,1,4,309.8720374107361,0.0009603500366210938,0.7190789962304522
schrodinger,75,0.15306122,1,1,1068.3149020671844,0.0009527206420898438,8.175720876936946
schrodinger,75,0.40816327,1,1,1330.21901679039,0.0013682842254638672,22.906557631637657
schrodinger,75,0.42857143,1,1,1112.6386282444,0.0013072490692138672,21.544861132020802
schrodinger,75,0.26530612,1,1,1062.0830700397491,0.0013401508331298828,14.662376457345012
schrodinger,75,0.30612245,1,1,1210.3395137786865,0.0009999275207519531,16.701725579571487
schrodinger,75,0.45918367,1,1,1048.2662224769592,0.0015997886657714844,24.768450798956053
schrodinger,75,0.3877551,1,1,1024.339213848114,0.0011258125305175781,20.185673300321177
schrodinger,75,0.32653061,1,2,754.4831314086914,0.0009088516235351562,16.324888391514985
schrodinger,75,0.04081633,1,1,1009.9989020824432,0.0009057521820068359,1.7227168463432019
schrodinger,75,0.44897959,1,2,865.2942616939545,0.0008859634399414062,23.400512394009922
schrodinger,75,0.20408163,1,1,1142.7658410072327,0.0014896392822265625,11.89749008404866
schrodinger,75,0.48979592,1,1,1181.3259057998657,0.001986265182495117,27.84326826996373
