N_train,noise_ratio,resample,repeat,relative_L2_error
1,0.0,1,0,115.03702543131496
2,0.0,1,0,148.26126220851535
3,0.0,1,0,201.02119550890717
4,0.0,1,0,464.61624576165656
5,0.0,1,0,243.61037073355055
6,0.0,1,0,142.19540665370732
7,0.0,1,0,129.18731576689154
8,0.0,1,0,141.34029056126468
9,0.0,1,0,112.13234074724419
10,0.0,1,0,130.25135934792112
11,0.0,1,0,87.54770250261723
12,0.0,1,0,21.13643390441936
13,0.0,1,0,20.97656811883762
14,0.0,1,0,12.87381022578143
15,0.0,1,0,11.005310890820152
16,0.0,1,0,8.61532253064356
17,0.0,1,0,10.073296559755915
18,0.0,1,0,9.093747175023505
19,0.0,1,0,8.212313096110266
20,0.0,1,0,8.045164929388871
25,0.0,1,0,7.966325166057412
30,0.0,1,0,7.9577065472826805
35,0.0,1,0,7.862589993440203
40,0.0,1,0,7.850129674135199
45,0.0,1,0,7.8546619943749185
50,0.0,1,0,7.886851242122775
55,0.0,1,0,7.877049822265832
60,0.0,1,0,7.794561034520989
65,0.0,1,0,7.972772712501673
70,0.0,1,0,7.859245392416993
75,0.0,1,0,7.85142771384701
1,0.0,1,1,329.25993968374445
2,0.0,1,1,219.09549306602975
3,0.0,1,1,179.9077421900686
4,0.0,1,1,128.4101811069695
5,0.0,1,1,199.9825168564626
6,0.0,1,1,198.58546697729136
7,0.0,1,1,80.13148570054487
8,0.0,1,1,323.31084508677696
9,0.0,1,1,124.1117028478092
10,0.0,1,1,57.71477962279838
11,0.0,1,1,84.78008027279805
12,0.0,1,1,44.347376455108524
13,0.0,1,1,21.4628626978769
14,0.0,1,1,12.001934088657896
15,0.0,1,1,10.62646800052138
16,0.0,1,1,8.69921056851892
17,0.0,1,1,9.19173284701243
18,0.0,1,1,8.019919448970116
19,0.0,1,1,8.53511443745823
20,0.0,1,1,8.022092254840707
25,0.0,1,1,8.68388381689945
30,0.0,1,1,7.9798778552720995
35,0.0,1,1,7.918877915919376
40,0.0,1,1,8.324673252503615
45,0.0,1,1,7.8801725223122
50,0.0,1,1,7.837779035928507
55,0.0,1,1,7.89446442757448
60,0.0,1,1,7.830757976941594
65,0.0,1,1,7.883782031851391
70,0.0,1,1,7.890067153643407
75,0.0,1,1,7.848368831091689
1,0.0,1,2,118.63662457393691
2,0.0,1,2,445.41779768241395
3,0.0,1,2,290.21907551206345
4,0.0,1,2,215.79983325955348
5,0.0,1,2,207.5431673349613
6,0.0,1,2,164.9679058225616
7,0.0,1,2,97.34583052632195
8,0.0,1,2,102.26903395620386
9,0.0,1,2,61.14282455529473
10,0.0,1,2,92.51229522944332
11,0.0,1,2,60.72846163711317
12,0.0,1,2,74.66554501194909
13,0.0,1,2,29.557094850315085
14,0.0,1,2,19.494100011448484
15,0.0,1,2,9.473660768167724
16,0.0,1,2,9.76067101168152
17,0.0,1,2,12.47844571387096
18,0.0,1,2,8.178601156777852
19,0.0,1,2,8.359324391924707
20,0.0,1,2,8.839331605680306
25,0.0,1,2,8.119219490875135
30,0.0,1,2,7.913436106866689
35,0.0,1,2,8.114558664360384
40,0.0,1,2,7.862304511108001
45,0.0,1,2,8.038565950309259
50,0.0,1,2,7.845760135628193
55,0.0,1,2,7.936069210901876
60,0.0,1,2,7.8246497762374485
65,0.0,1,2,7.99560625888434
70,0.0,1,2,7.8505461071626135
75,0.0,1,2,7.894334183933424
1,0.0,1,3,236.71080614557022
2,0.0,1,3,383.8534963709071
3,0.0,1,3,293.9537793632895
4,0.0,1,3,308.292658615368
5,0.0,1,3,192.75410917030177
6,0.0,1,3,340.1944528492649
7,0.0,1,3,525.0455462918985
8,0.0,1,3,108.98147598932471
9,0.0,1,3,83.86443137337174
10,0.0,1,3,55.836997990996075
11,0.0,1,3,50.9451037072083
12,0.0,1,3,37.77232316329123
13,0.0,1,3,28.795747878893934
14,0.0,1,3,27.288941443005392
15,0.0,1,3,9.296132825001644
16,0.0,1,3,9.738887396047383
17,0.0,1,3,8.964325149620493
18,0.0,1,3,8.281906394846764
19,0.0,1,3,9.440944862191241
20,0.0,1,3,8.292807379402678
25,0.0,1,3,10.113462172297918
30,0.0,1,3,7.980770126947467
35,0.0,1,3,7.9279734325710365
40,0.0,1,3,8.019887621623964
45,0.0,1,3,7.957758068132964
50,0.0,1,3,7.995143332255567
55,0.0,1,3,7.973049997420542
60,0.0,1,3,7.962612519436359
65,0.0,1,3,7.858159216081812
70,0.0,1,3,7.920533465765123
75,0.0,1,3,7.841784530690561
1,0.0,1,4,101.59974330624082
2,0.0,1,4,225.24669069195164
3,0.0,1,4,233.68009475588306
4,0.0,1,4,180.33462354237676
5,0.0,1,4,140.57228158427668
6,0.0,1,4,286.9184132481561
7,0.0,1,4,145.5406471471629
8,0.0,1,4,149.80647486683503
9,0.0,1,4,169.30914570810785
10,0.0,1,4,58.91721121958945
11,0.0,1,4,161.1189125811083
12,0.0,1,4,47.31371035818118
13,0.0,1,4,27.42075077468381
14,0.0,1,4,20.73168173018729
15,0.0,1,4,32.08656293585674
16,0.0,1,4,10.828740806929869
17,0.0,1,4,10.281834773406668
18,0.0,1,4,8.16560377576165
19,0.0,1,4,9.059170144171949
20,0.0,1,4,8.206929532244464
25,0.0,1,4,7.960280792464312
30,0.0,1,4,7.9097383434123145
35,0.0,1,4,7.880431877435157
40,0.0,1,4,8.195389675032395
45,0.0,1,4,7.901883162312437
50,0.0,1,4,7.8910050420770315
55,0.0,1,4,7.829489465115133
60,0.0,1,4,8.03322295880156
65,0.0,1,4,7.880553251882591
70,0.0,1,4,7.836869107851865
75,0.0,1,4,7.866238421397695
