N_train,noise_ratio,resample,repeat,train_wall_time
2,0.0,1,0,51.527994871139526
1,0.0,1,0,60.9593403339386
3,0.0,1,0,91.39871883392334
1,0.0,1,1,37.91462016105652
7,0.0,1,0,126.98809552192688
1,0.0,1,2,32.62430691719055
2,0.0,1,1,86.13597559928894
3,0.0,1,1,65.06111407279968
1,0.0,1,3,33.05410575866699
2,0.0,1,2,60.16321158409119
1,0.0,1,4,33.688729763031006
4,0.0,1,0,205.52216362953186
5,0.0,1,0,213.87041068077087
6,0.0,1,0,214.54316592216492
17,0.0,1,0,260.2075638771057
13,0.0,1,0,268.7788608074188
2,0.0,1,3,85.98806643486023
4,0.0,1,1,80.62348484992981
8,0.0,1,0,287.2434024810791
3,0.0,1,2,148.43410277366638
75,0.0,1,0,309.3709342479706
16,0.0,1,0,334.78735542297363
15,0.0,1,0,359.67793250083923
2,0.0,1,4,81.78714275360107
14,0.0,1,0,379.20793318748474
10,0.0,1,0,381.47839426994324
7,0.0,1,1,257.79767990112305
18,0.0,1,0,394.79866099357605
4,0.0,1,2,113.79428434371948
6,0.0,1,1,205.05938076972961
3,0.0,1,3,138.93255019187927
9,0.0,1,0,446.3226544857025
12,0.0,1,0,464.79451608657837
11,0.0,1,0,474.59558868408203
5,0.0,1,1,262.331738948822
70,0.0,1,0,526.8235776424408
5,0.0,1,2,68.32654643058777
60,0.0,1,0,567.5745856761932
55,0.0,1,0,587.4091761112213
3,0.0,1,4,169.70847487449646
13,0.0,1,1,363.36736392974854
17,0.0,1,1,385.6877555847168
14,0.0,1,1,279.4763922691345
65,0.0,1,0,671.7366330623627
7,0.0,1,2,291.9162588119507
15,0.0,1,1,335.09485960006714
4,0.0,1,3,296.3856678009033
16,0.0,1,1,409.6361494064331
5,0.0,1,3,203.55612587928772
18,0.0,1,1,358.3379056453705
75,0.0,1,1,448.81232595443726
6,0.0,1,2,356.163626909256
8,0.0,1,1,495.27350544929504
11,0.0,1,1,321.1652660369873
40,0.0,1,0,799.1930294036865
9,0.0,1,1,367.47910356521606
30,0.0,1,0,855.5939524173737
4,0.0,1,4,178.01436567306519
10,0.0,1,1,493.7858009338379
7,0.0,1,3,221.3701937198639
45,0.0,1,0,904.6581151485443
17,0.0,1,2,291.23134183883667
70,0.0,1,1,418.1115322113037
55,0.0,1,1,359.15083622932434
13,0.0,1,2,324.5825574398041
6,0.0,1,3,235.3048131465912
5,0.0,1,4,265.0668954849243
12,0.0,1,1,585.6426589488983
19,0.0,1,0,1066.002942085266
35,0.0,1,0,1066.9728317260742
16,0.0,1,2,330.5951805114746
14,0.0,1,2,418.1761088371277
25,0.0,1,0,1093.9377927780151
